,ntaname,Total
0,Midwood,124
1,Bedford,1144
2,Fordham South,283
3,Borough Park,362
4,Rugby-Remsen Village,385
5,East Flushing,54
6,Woodhaven,215
7,Madison,105
8,Auburndale,37
9,Williamsbridge-Olinville,1207
10,Murray Hill,124
11,East Elmhurst,109
12,Brownsville,725
13,East New York (Pennsylvania Ave),341
14,Kensington-Ocean Parkway,117
15,Parkchester,170
16,Erasmus,694
17,Cambria Heights,57
18,East Flatbush-Farragut,270
19,Ocean Parkway South,48
20,Starrett City,32
21,Morrisania-Melrose,944
22,Elmhurst,840
23,East Village,573
24,Glen Oaks-Floral Park-New Hyde Park,49
25,Longwood,197
26,Yorkville,149
27,Upper East Side-Carnegie Hill,536
28,Windsor Terrace,32
29,Hammels-Arverne-Edgemere,474
30,Rikers Island,11
31,Hunts Point,847
32,Jackson Heights,925
33,Bath Beach,314
34,Old Town-Dongan Hills-South Beach,61
35,Flatbush,796
36,Melrose South-Mott Haven North,814
37,Ocean Hill,634
38,Morningside Heights,297
39,Soundview-Bruckner,262
40,Allerton-Pelham Gardens,92
41,Jamaica Estates-Holliswood,75
42,Hollis,100
43,Flatlands,578
44,East New York,1788
45,Kingsbridge Heights,314
46,Springfield Gardens North,585
47,Canarsie,467
48,Norwood,716
49,Manhattanville,477
50,West Village,773
51,Grasmere-Arrochar-Ft. Wadsworth,65
52,Queens Village,623
53,Chinatown,1022
54,Pelham Bay-Country Club-City Island,44
55,Woodlawn-Wakefield,267
56,Old Astoria,169
57,Astoria,576
58,Stuyvesant Town-Cooper Village,38
59,Dyker Heights,134
60,Bensonhurst West,251
61,West New Brighton-New Brighton-St. George,967
62,New Brighton-Silver Lake,85
63,Westerleigh,43
64,University Heights-Morris Heights,446
65,Bayside-Bayside Hills,243
66,Crown Heights North,1227
67,East Concourse-Concourse Village,729
68,North Corona,328
69,Cypress Hills-City Line,271
70,Kew Gardens Hills,68
71,Pomonok-Flushing Heights-Hillcrest,549
72,North Side-South Side,556
73,Lower East Side,976
74,Greenpoint,352
75,Spuyten Duyvil-Kingsbridge,406
76,Sunset Park East,308
77,Marble Hill-Inwood,239
78,Homecrest,369
79,Washington Heights North,423
80,Steinway,610
81,Mott Haven-Port Morris,1173
82,West Brighton,216
83,Central Harlem North-Polo Grounds,1356
84,Queensbridge-Ravenswood-Long Island City,355
85,New Dorp-Midland Beach,336
86,Van Cortlandt Village,380
87,Co-op City,157
88,Bay Ridge,486
89,Sunset Park West,827
90,Fort Greene,271
91,SoHo-TriBeCa-Civic Center-Little Italy,1220
92,Battery Park City-Lower Manhattan,197
93,Clinton,1541
94,Prospect Heights,129
95,Baisley Park,664
96,South Jamaica,337
97,Ozone Park,86
98,Georgetown-Marine Park-Bergen Beach-Mill Basin,148
99,Brighton Beach,150
100,Bensonhurst East,210
101,West Farms-Bronx River,366
102,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,235
103,Westchester-Unionport,182
104,Oakwood-Oakwood Beach,59
105,Grymes Hill-Clifton-Fox Hills,141
106,Park Slope-Gowanus,376
107,Stapleton-Rosebank,327
108,Fresh Meadows-Utopia,34
109,Bellerose,68
110,Stuyvesant Heights,685
111,East Williamsburg,291
112,Ridgewood,619
113,East Harlem South,749
114,Rego Park,121
115,East Harlem North,1364
116,Bushwick North,711
117,Bushwick South,589
118,Central Harlem South,956
119,College Point,103
120,Midtown-Midtown South,1850
121,Glendale,126
122,Charleston-Richmond Valley-Tottenville,198
123,park-cemetery-etc-Staten Island,0
124,New Springville-Bloomfield-Travis,123
125,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,140
126,South Ozone Park,536
127,Lindenwood-Howard Beach,40
128,Prospect Lefferts Gardens-Wingate,507
129,Murray Hill-Kips Bay,287
130,Mariner's Harbor-Arlington-Port Ivory-Graniteville,678
131,Crown Heights South,435
132,Brooklyn Heights-Cobble Hill,49
133,Port Richmond,228
134,Hunters Point-Sunnyside-West Maspeth,620
135,Claremont-Bathgate,753
136,Van Nest-Morris Park-Westchester Square,209
137,Pelham Parkway,385
138,Mount Hope,1048
139,Ft. Totten-Bay Terrace-Clearview,34
140,Whitestone,88
141,Turtle Bay-East Midtown,429
142,Lenox Hill-Roosevelt Island,135
143,Elmhurst-Maspeth,81
144,Woodside,204
145,St. Albans,289
146,Laurelton,96
147,Hamilton Heights,702
148,Jamaica,1286
149,Richmond Hill,1104
150,Briarwood-Jamaica Hills,132
151,Kew Gardens,224
152,Middle Village,114
153,Maspeth,87
154,Upper West Side,1012
155,Lincoln Square,266
156,Bronxdale,139
157,Oakland Gardens,45
158,Douglas Manor-Douglaston-Little Neck,39
159,Annadale-Huguenot-Prince's Bay-Eltingville,90
160,Great Kills,63
161,Seagate-Coney Island,682
162,Corona,182
163,Schuylerville-Throgs Neck-Edgewater Park,453
164,Gravesend,144
165,East Tremont,539
166,North Riverdale-Fieldston-Riverdale,51
167,Bedford Park-Fordham North,495
168,Belmont,308
169,Eastchester-Edenwald-Baychester,239
170,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,80
171,Crotona Park East,269
172,Rossville-Woodrow,50
173,Arden Heights,25
174,Far Rockaway-Bayswater,581
175,Soundview-Castle Hill-Clason Point-Harding Park,775
176,park-cemetery-etc-Bronx,3885
177,Carroll Gardens-Columbia Street-Red Hook,343
178,park-cemetery-etc-Manhattan,10575
179,Rosedale,74
180,Flushing,932
181,Queensboro Hill,58
182,Hudson Yards-Chelsea-Flatiron-Union Square,1907
183,Gramercy,517
184,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1031
185,Clinton Hill,158
186,Williamsburg,74
187,park-cemetery-etc-Brooklyn,4273
188,Washington Heights South,1052
189,Highbridge,488
190,West Concourse,1302
191,Forest Hills,559
192,park-cemetery-etc-Queens,11115
193,Springfield Gardens South-Brookville,104
194,Airport,0
