,ntaname,Total
0,Midwood,80
1,Bedford,963
2,Fordham South,259
3,Borough Park,319
4,Rugby-Remsen Village,319
5,East Flushing,47
6,Woodhaven,135
7,Madison,84
8,Auburndale,29
9,Williamsbridge-Olinville,1175
10,Murray Hill,101
11,East Elmhurst,102
12,Brownsville,751
13,East New York (Pennsylvania Ave),286
14,Kensington-Ocean Parkway,73
15,Parkchester,131
16,Erasmus,600
17,Cambria Heights,58
18,East Flatbush-Farragut,289
19,Ocean Parkway South,41
20,Starrett City,32
21,Morrisania-Melrose,839
22,Elmhurst,691
23,East Village,319
24,Glen Oaks-Floral Park-New Hyde Park,19
25,Longwood,192
26,Yorkville,109
27,Upper East Side-Carnegie Hill,473
28,Windsor Terrace,28
29,Hammels-Arverne-Edgemere,481
30,Rikers Island,14
31,Hunts Point,957
32,Jackson Heights,866
33,Bath Beach,246
34,Old Town-Dongan Hills-South Beach,70
35,Flatbush,661
36,Melrose South-Mott Haven North,687
37,Ocean Hill,572
38,Morningside Heights,198
39,Soundview-Bruckner,207
40,Allerton-Pelham Gardens,87
41,Jamaica Estates-Holliswood,93
42,Hollis,84
43,Flatlands,549
44,East New York,1488
45,Kingsbridge Heights,252
46,Springfield Gardens North,682
47,Canarsie,318
48,Norwood,686
49,Manhattanville,411
50,West Village,743
51,Grasmere-Arrochar-Ft. Wadsworth,60
52,Queens Village,615
53,Chinatown,735
54,Pelham Bay-Country Club-City Island,60
55,Woodlawn-Wakefield,264
56,Old Astoria,114
57,Astoria,359
58,Stuyvesant Town-Cooper Village,13
59,Dyker Heights,155
60,Bensonhurst West,192
61,West New Brighton-New Brighton-St. George,774
62,New Brighton-Silver Lake,59
63,Westerleigh,34
64,University Heights-Morris Heights,431
65,Bayside-Bayside Hills,169
66,Crown Heights North,1160
67,East Concourse-Concourse Village,656
68,North Corona,243
69,Cypress Hills-City Line,209
70,Kew Gardens Hills,58
71,Pomonok-Flushing Heights-Hillcrest,403
72,North Side-South Side,483
73,Lower East Side,578
74,Greenpoint,255
75,Spuyten Duyvil-Kingsbridge,306
76,Sunset Park East,267
77,Marble Hill-Inwood,228
78,Homecrest,369
