,ntaname,Total
0,Midwood,217
1,Bedford,1367
2,Fordham South,660
3,Borough Park,352
4,Rugby-Remsen Village,546
5,East Flushing,83
6,Woodhaven,300
7,Madison,149
8,Auburndale,40
9,Williamsbridge-Olinville,1588
10,Murray Hill,173
11,East Elmhurst,189
12,Brownsville,1396
13,East New York (Pennsylvania Ave),517
14,Kensington-Ocean Parkway,99
15,Parkchester,286
16,Erasmus,924
17,Cambria Heights,106
18,East Flatbush-Farragut,486
19,Ocean Parkway South,34
20,Starrett City,48
21,Morrisania-Melrose,1122
22,Elmhurst,1132
23,East Village,553
24,Glen Oaks-Floral Park-New Hyde Park,42
25,Longwood,400
26,Yorkville,206
27,Upper East Side-Carnegie Hill,809
28,Windsor Terrace,28
29,Hammels-Arverne-Edgemere,770
30,Rikers Island,4
31,Hunts Point,1353
32,Jackson Heights,1644
33,Bath Beach,342
34,Old Town-Dongan Hills-South Beach,116
35,Flatbush,1164
36,Melrose South-Mott Haven North,1324
37,Ocean Hill,1052
38,Morningside Heights,387
39,Soundview-Bruckner,362
40,Allerton-Pelham Gardens,184
41,Jamaica Estates-Holliswood,120
42,Hollis,137
43,Flatlands,746
44,East New York,2452
45,Kingsbridge Heights,558
46,Springfield Gardens North,980
47,Canarsie,608
48,Norwood,1036
49,Manhattanville,678
50,West Village,1165
51,Grasmere-Arrochar-Ft. Wadsworth,120
52,Queens Village,949
53,Chinatown,1438
54,Pelham Bay-Country Club-City Island,118
55,Woodlawn-Wakefield,445
56,Old Astoria,233
57,Astoria,639
58,Stuyvesant Town-Cooper Village,16
59,Dyker Heights,152
60,Bensonhurst West,287
61,West New Brighton-New Brighton-St. George,1396
62,New Brighton-Silver Lake,143
63,Westerleigh,70
64,University Heights-Morris Heights,792
65,Bayside-Bayside Hills,310
66,Crown Heights North,2131
67,East Concourse-Concourse Village,1216
68,North Corona,463
69,Cypress Hills-City Line,447
70,Kew Gardens Hills,98
71,Pomonok-Flushing Heights-Hillcrest,585
72,North Side-South Side,701
73,Lower East Side,1067
74,Greenpoint,424
75,Spuyten Duyvil-Kingsbridge,365
76,Sunset Park East,453
77,Marble Hill-Inwood,695
78,Homecrest,444
79,Washington Heights North,722
80,Steinway,685
81,Mott Haven-Port Morris,1675
82,West Brighton,729
83,Central Harlem North-Polo Grounds,1534
84,Queensbridge-Ravenswood-Long Island City,446
85,New Dorp-Midland Beach,425
86,Van Cortlandt Village,302
87,Co-op City,365
88,Bay Ridge,841
89,Sunset Park West,1184
90,Fort Greene,403
91,SoHo-TriBeCa-Civic Center-Little Italy,1605
92,Battery Park City-Lower Manhattan,496
93,Clinton,1683
94,Prospect Heights,199
95,Baisley Park,1394
96,South Jamaica,547
97,Ozone Park,168
98,Georgetown-Marine Park-Bergen Beach-Mill Basin,299
99,Brighton Beach,318
100,Bensonhurst East,198
101,West Farms-Bronx River,460
102,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,366
103,Westchester-Unionport,218
104,Oakwood-Oakwood Beach,78
105,Grymes Hill-Clifton-Fox Hills,167
106,Park Slope-Gowanus,516
107,Stapleton-Rosebank,482
108,Fresh Meadows-Utopia,53
109,Bellerose,103
110,Stuyvesant Heights,921
111,East Williamsburg,455
112,Ridgewood,824
113,East Harlem South,1201
114,Rego Park,175
115,East Harlem North,2320
116,Bushwick North,833
117,Bushwick South,963
118,Central Harlem South,950
119,College Point,116
120,Midtown-Midtown South,3020
121,Glendale,142
122,Charleston-Richmond Valley-Tottenville,296
