,ntaname,Total
138,Mount Hope,1067
139,Ft. Totten-Bay Terrace-Clearview,17
140,Whitestone,77
141,Turtle Bay-East Midtown,375
142,Lenox Hill-Roosevelt Island,106
143,Elmhurst-Maspeth,77
144,Woodside,128
145,St. Albans,397
146,Laurelton,87
147,Hamilton Heights,483
148,Jamaica,1121
149,Richmond Hill,973
150,Briarwood-Jamaica Hills,128
151,Kew Gardens,187
152,Middle Village,104
153,Maspeth,91
154,Upper West Side,794
155,Lincoln Square,271
156,Bronxdale,215
157,Oakland Gardens,43
158,Douglas Manor-Douglaston-Little Neck,37
159,Annadale-Huguenot-Prince's Bay-Eltingville,80
160,Great Kills,91
161,Seagate-Coney Island,434
162,Corona,215
163,Schuylerville-Throgs Neck-Edgewater Park,416
164,Gravesend,166
165,East Tremont,489
166,North Riverdale-Fieldston-Riverdale,46
167,Bedford Park-Fordham North,570
168,Belmont,238
169,Eastchester-Edenwald-Baychester,153
170,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,80
171,Crotona Park East,268
172,Rossville-Woodrow,30
173,Arden Heights,30
174,Far Rockaway-Bayswater,687
175,Soundview-Castle Hill-Clason Point-Harding Park,720
176,park-cemetery-etc-Bronx,3519
177,Carroll Gardens-Columbia Street-Red Hook,364
178,park-cemetery-etc-Manhattan,10358
179,Rosedale,87
180,Flushing,776
181,Queensboro Hill,32
182,Hudson Yards-Chelsea-Flatiron-Union Square,1305
183,Gramercy,497
184,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,995
185,Clinton Hill,247
186,Williamsburg,68
187,park-cemetery-etc-Brooklyn,4266
188,Washington Heights South,866
189,Highbridge,389
190,West Concourse,884
191,Forest Hills,401
192,park-cemetery-etc-Queens,10476
193,Springfield Gardens South-Brookville,120
194,Airport,0
