,ntaname,Total
0,Midwood,95
1,Bedford,1093
2,Fordham South,354
3,Borough Park,290
4,Rugby-Remsen Village,328
5,East Flushing,48
6,Woodhaven,201
7,Madison,109
8,Auburndale,31
9,Williamsbridge-Olinville,968
10,Murray Hill,86
11,East Elmhurst,163
12,Brownsville,906
13,East New York (Pennsylvania Ave),337
14,Kensington-Ocean Parkway,58
15,Parkchester,159
16,Erasmus,557
17,Cambria Heights,87
18,East Flatbush-Farragut,261
19,Ocean Parkway South,42
20,Starrett City,45
21,Morrisania-Melrose,785
22,Elmhurst,738
23,East Village,369
24,Glen Oaks-Floral Park-New Hyde Park,23
25,Longwood,239
26,Yorkville,171
27,Upper East Side-Carnegie Hill,543
28,Windsor Terrace,50
29,Hammels-Arverne-Edgemere,566
30,Rikers Island,11
31,Hunts Point,904
32,Jackson Heights,1010
33,Bath Beach,235
34,Old Town-Dongan Hills-South Beach,96
35,Flatbush,812
36,Melrose South-Mott Haven North,983
37,Ocean Hill,651
38,Morningside Heights,272
39,Soundview-Bruckner,259
40,Allerton-Pelham Gardens,93
41,Jamaica Estates-Holliswood,67
42,Hollis,126
43,Flatlands,498
44,East New York,1528
45,Kingsbridge Heights,329
46,Springfield Gardens North,710
47,Canarsie,324
48,Norwood,715
49,Manhattanville,466
50,West Village,1085
51,Grasmere-Arrochar-Ft. Wadsworth,62
52,Queens Village,619
53,Chinatown,844
54,Pelham Bay-Country Club-City Island,52
55,Woodlawn-Wakefield,216
56,Old Astoria,121
57,Astoria,289
58,Stuyvesant Town-Cooper Village,13
59,Dyker Heights,154
60,Bensonhurst West,195
61,West New Brighton-New Brighton-St. George,808
62,New Brighton-Silver Lake,74
63,Westerleigh,48
64,University Heights-Morris Heights,503
65,Bayside-Bayside Hills,192
66,Crown Heights North,1355
67,East Concourse-Concourse Village,652
68,North Corona,339
69,Cypress Hills-City Line,228
70,Kew Gardens Hills,64
71,Pomonok-Flushing Heights-Hillcrest,420
72,North Side-South Side,427
73,Lower East Side,833
74,Greenpoint,203
75,Spuyten Duyvil-Kingsbridge,375
76,Sunset Park East,322
77,Marble Hill-Inwood,384
78,Homecrest,337
79,Washington Heights North,541
80,Steinway,567
81,Mott Haven-Port Morris,1353
82,West Brighton,453
83,Central Harlem North-Polo Grounds,1091
84,Queensbridge-Ravenswood-Long Island City,221
85,New Dorp-Midland Beach,311
86,Van Cortlandt Village,278
87,Co-op City,167
88,Bay Ridge,474
89,Sunset Park West,806
90,Fort Greene,299
91,SoHo-TriBeCa-Civic Center-Little Italy,1175
92,Battery Park City-Lower Manhattan,179
93,Clinton,921
94,Prospect Heights,159
95,Baisley Park,669
96,South Jamaica,350
97,Ozone Park,128
98,Georgetown-Marine Park-Bergen Beach-Mill Basin,145
99,Brighton Beach,169
100,Bensonhurst East,133
101,West Farms-Bronx River,287
102,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,215
103,Westchester-Unionport,130
104,Oakwood-Oakwood Beach,53
105,Grymes Hill-Clifton-Fox Hills,91
106,Park Slope-Gowanus,358
107,Stapleton-Rosebank,251
108,Fresh Meadows-Utopia,29
109,Bellerose,52
110,Stuyvesant Heights,672
111,East Williamsburg,199
112,Ridgewood,653
113,East Harlem South,833
114,Rego Park,111
115,East Harlem North,1678
116,Bushwick North,631
117,Bushwick South,599
118,Central Harlem South,745
119,College Point,91
120,Midtown-Midtown South,1391
121,Glendale,104
122,Charleston-Richmond Valley-Tottenville,219
123,park-cemetery-etc-Staten Island,0
124,New Springville-Bloomfield-Travis,123
125,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,102
126,South Ozone Park,464
127,Lindenwood-Howard Beach,50
128,Prospect Lefferts Gardens-Wingate,469
129,Murray Hill-Kips Bay,217
130,Mariner's Harbor-Arlington-Port Ivory-Graniteville,607
131,Crown Heights South,378
132,Brooklyn Heights-Cobble Hill,59
133,Port Richmond,153
134,Hunters Point-Sunnyside-West Maspeth,429
135,Claremont-Bathgate,719
136,Van Nest-Morris Park-Westchester Square,180
137,Pelham Parkway,466
