,ntaname,Total
118,Kew Gardens Hills,26
119,Gravesend,26
120,Port Richmond,26
121,Fort Greene,25
122,Queensbridge-Ravenswood-Long Island City,25
123,East Williamsburg,25
124,Homecrest,25
125,West Village,25
126,East Village,25
127,Chinatown,24
128,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,24
129,Morningside Heights,23
130,Pomonok-Flushing Heights-Hillcrest,21
131,Allerton-Pelham Gardens,21
132,Elmhurst-Maspeth,21
133,Fresh Meadows-Utopia,20
134,Georgetown-Marine Park-Bergen Beach-Mill Basin,20
135,Middle Village,19
136,Rosedale,18
137,Bath Beach,18
138,Park Slope-Gowanus,17
139,Laurelton,17
140,Manhattanville,17
141,Old Astoria,16
142,Carroll Gardens-Columbia Street-Red Hook,16
143,Madison,15
144,Rego Park,15
145,Gramercy,15
146,Cambria Heights,14
147,Maspeth,14
148,West Brighton,14
149,College Point,14
150,Lindenwood-Howard Beach,13
151,Ft. Totten-Bay Terrace-Clearview,13
152,Jamaica Estates-Holliswood,13
153,North Riverdale-Fieldston-Riverdale,13
154,Queensboro Hill,13
155,Greenpoint,12
156,Bayside-Bayside Hills,12
157,Glendale,11
158,Upper East Side-Carnegie Hill,11
159,New Brighton-Silver Lake,11
160,Dyker Heights,11
161,Charleston-Richmond Valley-Tottenville,11
162,East Flushing,11
163,park-cemetery-etc-Bronx,11
164,Oakland Gardens,11
165,Bellerose,11
166,Arden Heights,10
167,East Elmhurst,10
168,Westerleigh,9
169,New Springville-Bloomfield-Travis,9
170,Great Kills,9
171,Kensington-Ocean Parkway,9
172,Prospect Heights,9
173,Oakwood-Oakwood Beach,8
174,Grasmere-Arrochar-Ft. Wadsworth,8
175,Ocean Parkway South,7
176,Brooklyn Heights-Cobble Hill,7
177,Whitestone,7
178,New Dorp-Midland Beach,6
179,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5
180,Annadale-Huguenot-Prince's Bay-Eltingville,5
181,Auburndale,5
182,Williamsburg,5
183,Old Town-Dongan Hills-South Beach,4
184,Douglas Manor-Douglaston-Little Neck,3
185,Windsor Terrace,3
186,Stuyvesant Town-Cooper Village,3
187,Glen Oaks-Floral Park-New Hyde Park,2
188,park-cemetery-etc-Queens,1
189,park-cemetery-etc-Brooklyn,1
190,Rossville-Woodrow,1
