,ntaname,Total
121,Glendale,109
122,Charleston-Richmond Valley-Tottenville,293
123,park-cemetery-etc-Staten Island,0
124,New Springville-Bloomfield-Travis,183
125,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,230
126,South Ozone Park,678
127,Lindenwood-Howard Beach,68
128,Prospect Lefferts Gardens-Wingate,749
129,Murray Hill-Kips Bay,412
130,Mariner's Harbor-Arlington-Port Ivory-Graniteville,659
131,Crown Heights South,664
132,Brooklyn Heights-Cobble Hill,101
133,Port Richmond,229
134,Hunters Point-Sunnyside-West Maspeth,781
135,Claremont-Bathgate,982
136,Van Nest-Morris Park-Westchester Square,297
137,Pelham Parkway,660
138,Mount Hope,1460
139,Ft. Totten-Bay Terrace-Clearview,30
140,Whitestone,112
141,Turtle Bay-East Midtown,667
142,Lenox Hill-Roosevelt Island,195
143,Elmhurst-Maspeth,97
144,Woodside,198
145,St. Albans,626
146,Laurelton,128
147,Hamilton Heights,695
148,Jamaica,1562
149,Richmond Hill,1144
150,Briarwood-Jamaica Hills,209
151,Kew Gardens,353
152,Middle Village,114
153,Maspeth,109
154,Upper West Side,1054
155,Lincoln Square,462
156,Bronxdale,427
157,Oakland Gardens,51
158,Douglas Manor-Douglaston-Little Neck,57
159,Annadale-Huguenot-Prince's Bay-Eltingville,141
160,Great Kills,132
161,Seagate-Coney Island,669
162,Corona,258
163,Schuylerville-Throgs Neck-Edgewater Park,627
164,Gravesend,182
165,East Tremont,678
166,North Riverdale-Fieldston-Riverdale,52
167,Bedford Park-Fordham North,805
168,Belmont,362
169,Eastchester-Edenwald-Baychester,316
170,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,172
171,Crotona Park East,432
172,Rossville-Woodrow,47
173,Arden Heights,59
174,Far Rockaway-Bayswater,854
175,Soundview-Castle Hill-Clason Point-Harding Park,903
176,park-cemetery-etc-Bronx,5532
177,Carroll Gardens-Columbia Street-Red Hook,842
178,park-cemetery-etc-Manhattan,16008
179,Rosedale,99
180,Flushing,1303
181,Queensboro Hill,105
182,Hudson Yards-Chelsea-Flatiron-Union Square,2032
183,Gramercy,761
184,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1777
185,Clinton Hill,268
186,Williamsburg,65
187,park-cemetery-etc-Brooklyn,5884
188,Washington Heights South,1228
189,Highbridge,608
190,West Concourse,1684
191,Forest Hills,713
192,park-cemetery-etc-Queens,15337
193,Springfield Gardens South-Brookville,151
194,Airport,0
