,ntaname,Total
0,Crown Heights North,251
1,Bedford Park-Fordham North,242
2,East New York,225
3,Williamsbridge-Olinville,206
4,East Concourse-Concourse Village,203
5,Mount Hope,202
6,Central Harlem North-Polo Grounds,188
7,University Heights-Morris Heights,183
8,Flatbush,171
9,East Tremont,158
10,Prospect Lefferts Gardens-Wingate,156
11,Morrisania-Melrose,151
12,Washington Heights South,148
13,Norwood,144
14,Brownsville,135
15,Van Cortlandt Village,135
16,West Concourse,128
17,Bronxdale,128
18,Belmont,125
19,Stuyvesant Heights,122
20,West Farms-Bronx River,121
21,Mott Haven-Port Morris,121
22,East Flatbush-Farragut,120
23,Rugby-Remsen Village,119
24,Fordham South,118
25,Melrose South-Mott Haven North,110
26,Erasmus,109
27,Highbridge,108
28,East Harlem North,105
29,Kingsbridge Heights,104
30,East New York (Pennsylvania Ave),102
31,Far Rockaway-Bayswater,101
32,Washington Heights North,100
33,Canarsie,98
34,Corona,97
35,Hamilton Heights,97
36,Jamaica,96
37,South Jamaica,95
38,Ocean Hill,95
39,Claremont-Bathgate,93
40,Hammels-Arverne-Edgemere,92
41,Bushwick South,88
42,Hudson Yards-Chelsea-Flatiron-Union Square,87
43,Woodlawn-Wakefield,86
44,Soundview-Castle Hill-Clason Point-Harding Park,84
45,Soundview-Bruckner,84
46,Hunts Point,82
47,Marble Hill-Inwood,82
48,Clinton,78
49,Upper West Side,77
50,Bedford,76
51,Parkchester,75
52,Crotona Park East,75
53,Jackson Heights,74
54,Flatlands,72
55,Longwood,72
56,Ridgewood,71
57,Central Harlem South,70
58,Elmhurst,68
59,Crown Heights South,66
60,Midtown-Midtown South,66
61,East Harlem South,66
62,Bay Ridge,64
63,West New Brighton-New Brighton-St. George,64
64,Westchester-Unionport,64
65,South Ozone Park,63
66,Eastchester-Edenwald-Baychester,63
67,Astoria,62
68,Hunters Point-Sunnyside-West Maspeth,61
69,Pelham Parkway,61
70,Lower East Side,59
71,Richmond Hill,59
72,Cypress Hills-City Line,58
73,Flushing,56
74,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,51
75,St. Albans,51
76,Van Nest-Morris Park-Westchester Square,50
77,Bensonhurst West,47
78,Baisley Park,45
79,Forest Hills,43
80,Queens Village,43
81,Bushwick North,43
82,Bensonhurst East,42
83,Mariner's Harbor-Arlington-Port Ivory-Graniteville,42
84,Woodhaven,42
85,Starrett City,40
86,Chinatown,40
87,North Corona,40
88,Lenox Hill-Roosevelt Island,40
89,Co-op City,40
90,Rosedale,39
91,Briarwood-Jamaica Hills,39
92,Spuyten Duyvil-Kingsbridge,39
93,West Village,39
94,Yorkville,39
95,Clinton Hill,39
96,Turtle Bay-East Midtown,38
97,Seagate-Coney Island,38
98,Schuylerville-Throgs Neck-Edgewater Park,38
99,Murray Hill,37
100,East Village,37
101,Sunset Park West,36
102,Homecrest,36
103,Midwood,35
104,Stapleton-Rosebank,35
105,SoHo-TriBeCa-Civic Center-Little Italy,35
106,Kew Gardens Hills,34
107,Grymes Hill-Clifton-Fox Hills,33
108,Steinway,33
109,Springfield Gardens North,33
110,Pelham Bay-Country Club-City Island,33
111,Borough Park,32
112,Old Astoria,32
113,Morningside Heights,31
114,Kew Gardens,31
115,College Point,31
116,Murray Hill-Kips Bay,31
117,Jamaica Estates-Holliswood,30
118,Sunset Park East,30
119,Manhattanville,30
120,North Side-South Side,29
121,Lincoln Square,28
122,Fort Greene,28
123,Middle Village,28
124,Georgetown-Marine Park-Bergen Beach-Mill Basin,28
125,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28
126,Bath Beach,28
127,Queensbridge-Ravenswood-Long Island City,28
128,Battery Park City-Lower Manhattan,28
129,Brighton Beach,27
130,North Riverdale-Fieldston-Riverdale,27
131,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,27
132,Springfield Gardens South-Brookville,25
133,Allerton-Pelham Gardens,25
134,Hollis,24
135,East Williamsburg,23
136,Woodside,23
137,Laurelton,22
138,Madison,22
139,Glendale,22
140,Pomonok-Flushing Heights-Hillcrest,22
141,Gravesend,20
142,Upper East Side-Carnegie Hill,20
143,Rego Park,20
144,East Elmhurst,19
145,Carroll Gardens-Columbia Street-Red Hook,19
146,Greenpoint,19
147,Dyker Heights,19
148,Elmhurst-Maspeth,16
149,Fresh Meadows-Utopia,16
150,Kensington-Ocean Parkway,16
151,Maspeth,15
152,Ozone Park,14
153,West Brighton,14
154,Ft. Totten-Bay Terrace-Clearview,13
155,Port Richmond,13
156,Park Slope-Gowanus,13
