,ntaname,Total
81,Mott Haven-Port Morris,1889
82,West Brighton,615
83,Central Harlem North-Polo Grounds,1542
84,Queensbridge-Ravenswood-Long Island City,269
85,New Dorp-Midland Beach,363
86,Van Cortlandt Village,320
87,Co-op City,248
88,Bay Ridge,675
89,Sunset Park West,1207
90,Fort Greene,455
91,SoHo-TriBeCa-Civic Center-Little Italy,1724
92,Battery Park City-Lower Manhattan,492
93,Clinton,1304
94,Prospect Heights,144
95,Baisley Park,1332
96,South Jamaica,512
97,Ozone Park,144
98,Georgetown-Marine Park-Bergen Beach-Mill Basin,241
99,Brighton Beach,158
100,Bensonhurst East,186
101,West Farms-Bronx River,392
102,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,291
103,Westchester-Unionport,161
104,Oakwood-Oakwood Beach,44
105,Grymes Hill-Clifton-Fox Hills,128
106,Park Slope-Gowanus,408
107,Stapleton-Rosebank,349
108,Fresh Meadows-Utopia,63
109,Bellerose,66
110,Stuyvesant Heights,771
111,East Williamsburg,342
112,Ridgewood,856
113,East Harlem South,1098
114,Rego Park,137
115,East Harlem North,1975
116,Bushwick North,787
117,Bushwick South,807
118,Central Harlem South,975
119,College Point,85
120,Midtown-Midtown South,2384
121,Glendale,102
122,Charleston-Richmond Valley-Tottenville,229
123,park-cemetery-etc-Staten Island,2
124,New Springville-Bloomfield-Travis,151
125,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,203
126,South Ozone Park,562
127,Lindenwood-Howard Beach,50
128,Prospect Lefferts Gardens-Wingate,654
129,Murray Hill-Kips Bay,343
130,Mariner's Harbor-Arlington-Port Ivory-Graniteville,796
131,Crown Heights South,550
132,Brooklyn Heights-Cobble Hill,71
133,Port Richmond,202
134,Hunters Point-Sunnyside-West Maspeth,592
135,Claremont-Bathgate,924
136,Van Nest-Morris Park-Westchester Square,238
137,Pelham Parkway,590
138,Mount Hope,1298
139,Ft. Totten-Bay Terrace-Clearview,30
140,Whitestone,152
141,Turtle Bay-East Midtown,599
142,Lenox Hill-Roosevelt Island,149
143,Elmhurst-Maspeth,79
144,Woodside,182
145,St. Albans,483
146,Laurelton,115
147,Hamilton Heights,676
148,Jamaica,1406
149,Richmond Hill,1165
150,Briarwood-Jamaica Hills,164
151,Kew Gardens,336
152,Middle Village,86
153,Maspeth,108
154,Upper West Side,947
155,Lincoln Square,446
156,Bronxdale,318
157,Oakland Gardens,36
158,Douglas Manor-Douglaston-Little Neck,59
159,Annadale-Huguenot-Prince's Bay-Eltingville,93
160,Great Kills,115
161,Seagate-Coney Island,607
162,Corona,210
163,Schuylerville-Throgs Neck-Edgewater Park,611
164,Gravesend,147
165,East Tremont,642
166,North Riverdale-Fieldston-Riverdale,52
167,Bedford Park-Fordham North,749
168,Belmont,357
169,Eastchester-Edenwald-Baychester,278
170,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,146
171,Crotona Park East,408
172,Rossville-Woodrow,35
173,Arden Heights,45
174,Far Rockaway-Bayswater,815
175,Soundview-Castle Hill-Clason Point-Harding Park,778
176,park-cemetery-etc-Bronx,4794
177,Carroll Gardens-Columbia Street-Red Hook,632
178,park-cemetery-etc-Manhattan,14628
179,Rosedale,116
180,Flushing,1072
181,Queensboro Hill,68
182,Hudson Yards-Chelsea-Flatiron-Union Square,1867
183,Gramercy,570
184,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1454
185,Clinton Hill,234
186,Williamsburg,81
187,park-cemetery-etc-Brooklyn,5027
188,Washington Heights South,1072
189,Highbridge,487
190,West Concourse,1424
191,Forest Hills,542
192,park-cemetery-etc-Queens,14193
193,Springfield Gardens South-Brookville,132
194,Airport,0
