,ntaname,Total
0,Midwood,147
1,Bedford,1178
2,Fordham South,361
3,Borough Park,358
4,Rugby-Remsen Village,473
5,East Flushing,66
6,Woodhaven,254
7,Madison,181
8,Auburndale,67
9,Williamsbridge-Olinville,1384
10,Murray Hill,116
11,East Elmhurst,166
12,Brownsville,1194
13,East New York (Pennsylvania Ave),481
14,Kensington-Ocean Parkway,80
15,Parkchester,287
16,Erasmus,760
17,Cambria Heights,90
18,East Flatbush-Farragut,415
19,Ocean Parkway South,38
20,Starrett City,58
21,Morrisania-Melrose,1040
22,Elmhurst,1116
23,East Village,508
24,Glen Oaks-Floral Park-New Hyde Park,41
25,Longwood,331
26,Yorkville,196
27,Upper East Side-Carnegie Hill,879
28,Windsor Terrace,46
29,Hammels-Arverne-Edgemere,677
30,Rikers Island,16
31,Hunts Point,1126
32,Jackson Heights,1521
33,Bath Beach,337
34,Old Town-Dongan Hills-South Beach,108
35,Flatbush,975
36,Melrose South-Mott Haven North,1375
37,Ocean Hill,930
38,Morningside Heights,343
39,Soundview-Bruckner,248
40,Allerton-Pelham Gardens,133
41,Jamaica Estates-Holliswood,106
42,Hollis,123
43,Flatlands,648
44,East New York,2286
45,Kingsbridge Heights,392
46,Springfield Gardens North,762
47,Canarsie,472
48,Norwood,945
49,Manhattanville,576
50,West Village,1203
51,Grasmere-Arrochar-Ft. Wadsworth,110
52,Queens Village,704
53,Chinatown,1372
54,Pelham Bay-Country Club-City Island,68
55,Woodlawn-Wakefield,314
56,Old Astoria,151
57,Astoria,392
58,Stuyvesant Town-Cooper Village,14
59,Dyker Heights,156
60,Bensonhurst West,305
61,West New Brighton-New Brighton-St. George,1029
62,New Brighton-Silver Lake,92
63,Westerleigh,61
64,University Heights-Morris Heights,536
65,Bayside-Bayside Hills,277
66,Crown Heights North,1823
67,East Concourse-Concourse Village,1018
68,North Corona,481
69,Cypress Hills-City Line,356
70,Kew Gardens Hills,97
71,Pomonok-Flushing Heights-Hillcrest,580
72,North Side-South Side,668
73,Lower East Side,1018
74,Greenpoint,259
75,Spuyten Duyvil-Kingsbridge,396
76,Sunset Park East,390
77,Marble Hill-Inwood,726
78,Homecrest,498
79,Washington Heights North,648
80,Steinway,633
