,ntaname,Total
0,East New York,189
1,Crown Heights North,179
2,East Concourse-Concourse Village,168
3,Bedford Park-Fordham North,153
4,Williamsbridge-Olinville,152
5,Central Harlem North-Polo Grounds,146
6,University Heights-Morris Heights,145
7,Morrisania-Melrose,139
8,Rugby-Remsen Village,131
9,Brownsville,122
10,Mount Hope,119
11,Mott Haven-Port Morris,109
12,Stuyvesant Heights,98
13,East Tremont,97
14,Washington Heights South,91
15,Ocean Hill,89
16,Flatbush,89
17,Far Rockaway-Bayswater,87
18,Woodlawn-Wakefield,87
19,West Concourse,87
20,East Flatbush-Farragut,86
21,Canarsie,86
22,Bronxdale,84
23,Prospect Lefferts Gardens-Wingate,84
24,Hunts Point,83
25,Belmont,83
26,Melrose South-Mott Haven North,82
27,West Farms-Bronx River,79
28,Fordham South,78
29,Marble Hill-Inwood,77
30,Hammels-Arverne-Edgemere,75
31,Bedford,74
32,Highbridge,73
33,East Harlem North,72
34,Washington Heights North,70
35,Van Cortlandt Village,68
36,East New York (Pennsylvania Ave),68
37,Norwood,67
38,Longwood,66
39,Claremont-Bathgate,63
40,Eastchester-Edenwald-Baychester,62
41,Clinton,61
42,Crotona Park East,58
43,Jamaica,58
44,Soundview-Castle Hill-Clason Point-Harding Park,57
45,Flatlands,56
46,Soundview-Bruckner,56
47,Parkchester,55
48,St. Albans,55
49,Bushwick South,54
50,Central Harlem South,53
51,Woodhaven,53
52,Erasmus,52
53,East Harlem South,51
54,Co-op City,51
55,Seagate-Coney Island,50
56,Flushing,49
57,West New Brighton-New Brighton-St. George,49
58,South Jamaica,48
59,Cypress Hills-City Line,48
60,South Ozone Park,46
61,Crown Heights South,44
62,Van Nest-Morris Park-Westchester Square,44
63,Lower East Side,43
64,Bay Ridge,43
65,Midtown-Midtown South,42
66,Jackson Heights,42
67,Corona,42
68,Kingsbridge Heights,41
69,Queens Village,41
70,Hudson Yards-Chelsea-Flatiron-Union Square,40
71,Westchester-Unionport,40
72,Richmond Hill,39
73,Pelham Parkway,38
74,Hunters Point-Sunnyside-West Maspeth,38
75,Upper West Side,37
76,Baisley Park,37
77,Pelham Bay-Country Club-City Island,37
78,Elmhurst,36
79,Hamilton Heights,35
80,Grymes Hill-Clifton-Fox Hills,35
81,Allerton-Pelham Gardens,34
82,Brighton Beach,34
83,Astoria,33
84,Lenox Hill-Roosevelt Island,32
85,North Side-South Side,32
86,Rosedale,32
87,Stapleton-Rosebank,31
88,Forest Hills,30
89,Ridgewood,30
90,Hollis,30
91,Turtle Bay-East Midtown,29
92,Chinatown,29
93,Spuyten Duyvil-Kingsbridge,29
94,Clinton Hill,29
95,Bensonhurst West,28
96,Midwood,27
97,Schuylerville-Throgs Neck-Edgewater Park,27
98,Borough Park,26
99,Yorkville,25
100,Madison,25
101,Mariner's Harbor-Arlington-Port Ivory-Graniteville,25
102,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,24
103,East Williamsburg,24
104,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,24
105,Bensonhurst East,24
106,Bushwick North,24
107,Murray Hill,23
108,Lincoln Square,23
109,West Village,22
110,Springfield Gardens North,22
111,Pomonok-Flushing Heights-Hillcrest,21
112,Fort Greene,21
113,Morningside Heights,21
114,Old Astoria,20
115,Sunset Park East,20
116,Springfield Gardens South-Brookville,18
117,North Riverdale-Fieldston-Riverdale,18
118,Manhattanville,18
119,Starrett City,18
120,East Village,18
121,Gravesend,18
122,Kensington-Ocean Parkway,18
123,Lindenwood-Howard Beach,18
124,Kew Gardens,18
125,Woodside,17
126,Georgetown-Marine Park-Bergen Beach-Mill Basin,17
127,Carroll Gardens-Columbia Street-Red Hook,16
128,Upper East Side-Carnegie Hill,16
129,SoHo-TriBeCa-Civic Center-Little Italy,16
130,Cambria Heights,16
131,Ozone Park,16
132,Park Slope-Gowanus,15
133,Sunset Park West,15
134,North Corona,15
135,Maspeth,15
136,Homecrest,15
137,Kew Gardens Hills,15
138,Murray Hill-Kips Bay,14
139,College Point,14
140,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,14
141,Greenpoint,14
142,Battery Park City-Lower Manhattan,13
143,Laurelton,13
144,Jamaica Estates-Holliswood,13
145,Queensbridge-Ravenswood-Long Island City,13
146,Glendale,12
147,Steinway,11
148,Dyker Heights,11
149,Rego Park,10
150,East Elmhurst,9
151,Ocean Parkway South,9
152,East Flushing,9
153,Briarwood-Jamaica Hills,9
154,Williamsburg,8
155,Bath Beach,8
156,Gramercy,8
157,Douglas Manor-Douglaston-Little Neck,7
158,Port Richmond,7
159,New Springville-Bloomfield-Travis,7
160,Oakwood-Oakwood Beach,7
161,Arden Heights,7
162,West Brighton,7
163,Elmhurst-Maspeth,6
164,New Dorp-Midland Beach,6
165,Oakland Gardens,6
166,Charleston-Richmond Valley-Tottenville,6
167,Old Town-Dongan Hills-South Beach,6
168,Great Kills,6
169,Ft. Totten-Bay Terrace-Clearview,6
170,New Brighton-Silver Lake,6
171,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,6
172,Middle Village,5
173,Bayside-Bayside Hills,5
174,Queensboro Hill,5
175,Bellerose,4
176,Grasmere-Arrochar-Ft. Wadsworth,4
177,Prospect Heights,4
178,Fresh Meadows-Utopia,4
179,Brooklyn Heights-Cobble Hill,3
180,Stuyvesant Town-Cooper Village,3
181,Rossville-Woodrow,3
182,Windsor Terrace,3
183,park-cemetery-etc-Queens,3
184,Whitestone,2
185,park-cemetery-etc-Brooklyn,2
186,Auburndale,2
187,Glen Oaks-Floral Park-New Hyde Park,2
188,Westerleigh,2
