,ntaname,Total
0,Midwood,319
1,Bedford,2402
2,Fordham South,1076
3,Borough Park,606
4,Rugby-Remsen Village,1023
5,East Flushing,105
6,Woodhaven,705
7,Madison,302
8,Auburndale,68
9,Williamsbridge-Olinville,2547
10,Murray Hill,295
11,East Elmhurst,378
12,Brownsville,2645
13,East New York (Pennsylvania Ave),919
14,Kensington-Ocean Parkway,193
15,Parkchester,405
16,Erasmus,1598
17,Cambria Heights,169
18,East Flatbush-Farragut,842
19,Ocean Parkway South,86
20,Starrett City,82
21,Morrisania-Melrose,1909
22,Elmhurst,1891
23,East Village,1016
24,Glen Oaks-Floral Park-New Hyde Park,54
25,Longwood,744
26,Yorkville,268
27,Upper East Side-Carnegie Hill,1346
28,Windsor Terrace,73
29,Hammels-Arverne-Edgemere,1516
30,Rikers Island,45
31,Hunts Point,2392
32,Jackson Heights,2564
33,Bath Beach,472
34,Old Town-Dongan Hills-South Beach,192
35,Flatbush,2359
36,Melrose South-Mott Haven North,2051
37,Ocean Hill,2073
38,Morningside Heights,732
39,Soundview-Bruckner,662
40,Allerton-Pelham Gardens,340
41,Jamaica Estates-Holliswood,217
42,Hollis,235
43,Flatlands,1226
44,East New York,4098
45,Kingsbridge Heights,1045
46,Springfield Gardens North,1526
47,Canarsie,1480
48,Norwood,1760
49,Manhattanville,1091
50,West Village,2164
51,Grasmere-Arrochar-Ft. Wadsworth,208
52,Queens Village,1428
53,Chinatown,2616
54,Pelham Bay-Country Club-City Island,167
55,Woodlawn-Wakefield,875
56,Old Astoria,338
57,Astoria,1046
58,Stuyvesant Town-Cooper Village,29
59,Dyker Heights,335
60,Bensonhurst West,456
61,West New Brighton-New Brighton-St. George,2136
62,New Brighton-Silver Lake,245
63,Westerleigh,113
64,University Heights-Morris Heights,1191
65,Bayside-Bayside Hills,558
66,Crown Heights North,3914
67,East Concourse-Concourse Village,1981
68,North Corona,738
69,Cypress Hills-City Line,679
70,Kew Gardens Hills,234
71,Pomonok-Flushing Heights-Hillcrest,1021
72,North Side-South Side,1197
73,Lower East Side,2266
74,Greenpoint,579
75,Spuyten Duyvil-Kingsbridge,639
76,Sunset Park East,959
77,Marble Hill-Inwood,1164
78,Homecrest,777
79,Washington Heights North,1438
80,Steinway,1077
81,Mott Haven-Port Morris,3071
82,West Brighton,921
83,Central Harlem North-Polo Grounds,2776
84,Queensbridge-Ravenswood-Long Island City,746
85,New Dorp-Midland Beach,660
86,Van Cortlandt Village,673
87,Co-op City,469
88,Bay Ridge,1467
89,Sunset Park West,2137
90,Fort Greene,857
91,SoHo-TriBeCa-Civic Center-Little Italy,3067
92,Battery Park City-Lower Manhattan,785
93,Clinton,3684
94,Prospect Heights,448
95,Baisley Park,1883
96,South Jamaica,895
97,Ozone Park,251
98,Georgetown-Marine Park-Bergen Beach-Mill Basin,469
99,Brighton Beach,332
100,Bensonhurst East,331
101,West Farms-Bronx River,763
102,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,671
103,Westchester-Unionport,402
104,Oakwood-Oakwood Beach,127
105,Grymes Hill-Clifton-Fox Hills,340
106,Park Slope-Gowanus,1019
107,Stapleton-Rosebank,856
108,Fresh Meadows-Utopia,87
109,Bellerose,135
110,Stuyvesant Heights,1804
111,East Williamsburg,739
112,Ridgewood,1584
113,East Harlem South,2465
114,Rego Park,240
115,East Harlem North,4232
116,Bushwick North,1505
117,Bushwick South,1826
118,Central Harlem South,2101
119,College Point,194
120,Midtown-Midtown South,5038
121,Glendale,285
122,Charleston-Richmond Valley-Tottenville,482
123,park-cemetery-etc-Staten Island,0
124,New Springville-Bloomfield-Travis,314
125,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,381
126,South Ozone Park,1326
127,Lindenwood-Howard Beach,89
128,Prospect Lefferts Gardens-Wingate,1592
129,Murray Hill-Kips Bay,664
130,Mariner's Harbor-Arlington-Port Ivory-Graniteville,1118
131,Crown Heights South,925
132,Brooklyn Heights-Cobble Hill,209
133,Port Richmond,427
134,Hunters Point-Sunnyside-West Maspeth,1098
135,Claremont-Bathgate,1833
136,Van Nest-Morris Park-Westchester Square,561
137,Pelham Parkway,1145
138,Mount Hope,2444
139,Ft. Totten-Bay Terrace-Clearview,55
140,Whitestone,200
141,Turtle Bay-East Midtown,1247
142,Lenox Hill-Roosevelt Island,315
143,Elmhurst-Maspeth,160
144,Woodside,433
145,St. Albans,919
146,Laurelton,283
147,Hamilton Heights,1152
148,Jamaica,2515
149,Richmond Hill,2092
150,Briarwood-Jamaica Hills,421
151,Kew Gardens,503
152,Middle Village,177
153,Maspeth,186
154,Upper West Side,2061
155,Lincoln Square,815
156,Bronxdale,712
157,Oakland Gardens,97
158,Douglas Manor-Douglaston-Little Neck,91
159,Annadale-Huguenot-Prince's Bay-Eltingville,217
160,Great Kills,187
161,Seagate-Coney Island,1424
162,Corona,568
163,Schuylerville-Throgs Neck-Edgewater Park,979
164,Gravesend,359
165,East Tremont,1419
166,North Riverdale-Fieldston-Riverdale,107
