,ntaname,Total
167,Bedford Park-Fordham North,1555
168,Belmont,828
169,Eastchester-Edenwald-Baychester,606
170,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,270
171,Crotona Park East,844
172,Rossville-Woodrow,97
173,Arden Heights,108
174,Far Rockaway-Bayswater,1717
175,Soundview-Castle Hill-Clason Point-Harding Park,1569
176,park-cemetery-etc-Bronx,9520
177,Carroll Gardens-Columbia Street-Red Hook,1525
178,park-cemetery-etc-Manhattan,27671
179,Rosedale,204
180,Flushing,2068
181,Queensboro Hill,122
182,Hudson Yards-Chelsea-Flatiron-Union Square,3902
183,Gramercy,1104
184,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3112
185,Clinton Hill,611
186,Williamsburg,95
187,park-cemetery-etc-Brooklyn,11249
188,Washington Heights South,2329
189,Highbridge,845
190,West Concourse,2579
191,Forest Hills,852
192,park-cemetery-etc-Queens,26019
193,Springfield Gardens South-Brookville,244
194,Airport,0
