,ntaname,Total
0,East New York,208
1,Crown Heights North,190
2,East Concourse-Concourse Village,184
3,Central Harlem North-Polo Grounds,180
4,Williamsbridge-Olinville,162
5,Morrisania-Melrose,162
6,Bedford Park-Fordham North,161
7,Flatbush,154
8,University Heights-Morris Heights,152
9,East Tremont,132
10,Rugby-Remsen Village,124
11,Brownsville,124
12,Mott Haven-Port Morris,123
13,Mount Hope,114
14,Washington Heights South,105
15,Melrose South-Mott Haven North,101
16,Belmont,98
17,West Farms-Bronx River,97
18,Norwood,96
19,Woodlawn-Wakefield,96
20,Ocean Hill,93
21,West Concourse,93
22,Prospect Lefferts Gardens-Wingate,92
23,Bushwick South,91
24,Van Cortlandt Village,89
25,East Harlem North,87
26,East Flatbush-Farragut,87
27,East New York (Pennsylvania Ave),86
28,Far Rockaway-Bayswater,86
29,Canarsie,85
30,Soundview-Bruckner,85
31,Hudson Yards-Chelsea-Flatiron-Union Square,83
32,Midtown-Midtown South,82
33,Hammels-Arverne-Edgemere,82
34,Stuyvesant Heights,81
35,Highbridge,81
36,South Jamaica,81
37,Hunts Point,78
38,Washington Heights North,77
39,Claremont-Bathgate,76
40,Crotona Park East,74
41,Hamilton Heights,74
42,Fordham South,73
43,Bedford,72
44,St. Albans,72
45,Marble Hill-Inwood,72
46,Upper West Side,70
47,East Harlem South,69
48,Westchester-Unionport,69
49,Flushing,69
50,Jamaica,68
51,Corona,68
52,South Ozone Park,68
53,Cypress Hills-City Line,68
54,Flatlands,67
55,Longwood,64
56,Bronxdale,62
57,Baisley Park,62
58,Clinton,60
59,Erasmus,60
60,Elmhurst,59
61,Lower East Side,57
62,Bay Ridge,55
63,Parkchester,54
64,Pelham Parkway,54
65,Kingsbridge Heights,53
66,Eastchester-Edenwald-Baychester,51
67,Van Nest-Morris Park-Westchester Square,51
68,Hunters Point-Sunnyside-West Maspeth,50
69,Jackson Heights,50
70,Forest Hills,48
71,Crown Heights South,46
72,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,46
73,Seagate-Coney Island,46
74,Springfield Gardens North,45
75,Soundview-Castle Hill-Clason Point-Harding Park,45
76,Queens Village,44
77,Woodhaven,43
78,Ridgewood,43
79,West New Brighton-New Brighton-St. George,43
80,Central Harlem South,43
81,Bushwick North,42
82,Co-op City,42
83,Briarwood-Jamaica Hills,40
84,Lenox Hill-Roosevelt Island,40
85,Midwood,39
86,Hollis,39
87,Bensonhurst West,39
88,Astoria,38
89,Bensonhurst East,38
90,Yorkville,37
91,Turtle Bay-East Midtown,35
92,Richmond Hill,34
93,North Corona,33
94,Stapleton-Rosebank,33
95,Grymes Hill-Clifton-Fox Hills,32
96,Rosedale,32
97,Murray Hill,32
98,North Side-South Side,31
99,Steinway,31
100,Sunset Park East,31
101,Queensbridge-Ravenswood-Long Island City,31
102,Kew Gardens,31
103,Mariner's Harbor-Arlington-Port Ivory-Graniteville,30
104,Pelham Bay-Country Club-City Island,30
105,Homecrest,29
106,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,28
107,Woodside,27
108,Kew Gardens Hills,26
109,Borough Park,26
110,Georgetown-Marine Park-Bergen Beach-Mill Basin,26
111,Oakwood-Oakwood Beach,26
112,Brighton Beach,26
113,Springfield Gardens South-Brookville,24
114,West Village,24
115,Schuylerville-Throgs Neck-Edgewater Park,23
116,Bath Beach,23
117,Spuyten Duyvil-Kingsbridge,23
118,East Elmhurst,23
119,Laurelton,23
120,Morningside Heights,23
121,East Village,22
122,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,22
123,Fort Greene,21
124,Murray Hill-Kips Bay,21
125,Upper East Side-Carnegie Hill,21
126,Rego Park,21
127,Pomonok-Flushing Heights-Hillcrest,21
128,Glendale,20
129,Battery Park City-Lower Manhattan,20
130,Manhattanville,20
131,Madison,20
132,Clinton Hill,20
133,Chinatown,19
134,East Williamsburg,18
135,SoHo-TriBeCa-Civic Center-Little Italy,18
136,Starrett City,18
137,Allerton-Pelham Gardens,17
138,Old Astoria,17
139,Lincoln Square,17
140,Park Slope-Gowanus,17
141,Cambria Heights,17
142,Jamaica Estates-Holliswood,16
143,Ozone Park,16
144,Elmhurst-Maspeth,16
145,Sunset Park West,16
146,Port Richmond,16
147,Gravesend,16
148,Maspeth,15
149,Kensington-Ocean Parkway,15
150,Carroll Gardens-Columbia Street-Red Hook,14
151,Dyker Heights,13
152,Whitestone,13
153,Gramercy,12
154,North Riverdale-Fieldston-Riverdale,12
155,Middle Village,11
156,New Brighton-Silver Lake,11
157,Bayside-Bayside Hills,11
158,Fresh Meadows-Utopia,10
159,West Brighton,10
160,New Springville-Bloomfield-Travis,10
161,Old Town-Dongan Hills-South Beach,10
162,Ocean Parkway South,9
163,New Dorp-Midland Beach,9
164,Greenpoint,8
165,College Point,8
166,Lindenwood-Howard Beach,8
167,Oakland Gardens,8
168,Brooklyn Heights-Cobble Hill,7
169,Stuyvesant Town-Cooper Village,7
170,Great Kills,7
171,Prospect Heights,7
172,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,6
173,Ft. Totten-Bay Terrace-Clearview,6
174,Bellerose,6
175,East Flushing,6
176,Westerleigh,6
