,ntaname,Total
0,Williamsbridge-Olinville,76
1,East Concourse-Concourse Village,73
2,Morrisania-Melrose,65
3,University Heights-Morris Heights,63
4,Crown Heights North,60
5,Bedford Park-Fordham North,59
6,Central Harlem North-Polo Grounds,54
7,East New York,53
8,Prospect Lefferts Gardens-Wingate,50
9,Mount Hope,50
10,Norwood,46
11,Rugby-Remsen Village,44
12,Stuyvesant Heights,44
13,Washington Heights South,44
14,West Concourse,43
15,Marble Hill-Inwood,41
16,Brownsville,40
17,Claremont-Bathgate,40
18,East Tremont,38
19,Erasmus,38
20,Belmont,37
21,Highbridge,37
22,Mott Haven-Port Morris,36
23,Far Rockaway-Bayswater,36
24,West Farms-Bronx River,36
25,Hudson Yards-Chelsea-Flatiron-Union Square,35
26,Fordham South,35
27,Kingsbridge Heights,35
28,Crown Heights South,35
29,Jamaica,34
30,Clinton,34
31,Melrose South-Mott Haven North,33
32,East New York (Pennsylvania Ave),33
33,Hammels-Arverne-Edgemere,32
34,Woodlawn-Wakefield,32
35,Canarsie,32
36,Ocean Hill,31
37,Seagate-Coney Island,31
38,Crotona Park East,31
39,East Harlem North,30
40,Van Cortlandt Village,30
41,Flatbush,29
42,Hunters Point-Sunnyside-West Maspeth,28
43,East Flatbush-Farragut,28
44,Bronxdale,27
45,West New Brighton-New Brighton-St. George,27
46,Eastchester-Edenwald-Baychester,27
47,Longwood,27
48,Washington Heights North,26
49,Flatlands,25
50,Soundview-Bruckner,24
51,Westchester-Unionport,24
52,Hunts Point,24
53,Baisley Park,22
54,Bay Ridge,22
55,Cypress Hills-City Line,22
56,St. Albans,22
57,Parkchester,21
58,South Ozone Park,21
59,Central Harlem South,20
60,East Village,20
61,Hamilton Heights,20
62,Lenox Hill-Roosevelt Island,20
63,Corona,20
64,Bushwick North,19
65,Co-op City,19
66,Ridgewood,19
67,Springfield Gardens North,19
68,Bushwick South,18
69,Yorkville,18
70,Astoria,18
71,Flushing,18
72,Turtle Bay-East Midtown,18
73,East Harlem South,18
74,Midtown-Midtown South,17
75,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17
76,Bedford,17
77,Soundview-Castle Hill-Clason Point-Harding Park,17
78,Woodhaven,17
79,Springfield Gardens South-Brookville,17
80,Upper West Side,16
81,Van Nest-Morris Park-Westchester Square,15
82,Queens Village,15
83,Sunset Park West,15
84,Pelham Parkway,15
85,Kew Gardens,15
86,Midwood,14
87,Laurelton,14
88,Briarwood-Jamaica Hills,14
89,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,14
90,Madison,13
91,West Village,13
92,Schuylerville-Throgs Neck-Edgewater Park,13
93,Kew Gardens Hills,12
94,Bath Beach,12
95,Lower East Side,12
96,Mariner's Harbor-Arlington-Port Ivory-Graniteville,12
97,South Jamaica,12
98,SoHo-TriBeCa-Civic Center-Little Italy,12
99,Richmond Hill,12
100,North Side-South Side,12
101,Lincoln Square,12
102,Spuyten Duyvil-Kingsbridge,12
103,Bensonhurst East,11
104,Rego Park,11
105,Jackson Heights,11
106,Clinton Hill,11
107,Morningside Heights,11
108,Elmhurst-Maspeth,10
109,Fort Greene,10
110,Bensonhurst West,9
111,Kensington-Ocean Parkway,9
112,Murray Hill,9
113,Hollis,9
114,Battery Park City-Lower Manhattan,9
115,Elmhurst,9
116,Dyker Heights,9
117,Pelham Bay-Country Club-City Island,9
118,Jamaica Estates-Holliswood,9
119,Borough Park,9
120,Old Astoria,9
121,Park Slope-Gowanus,8
122,Chinatown,8
123,Rosedale,8
124,Ocean Parkway South,8
125,Stapleton-Rosebank,8
126,Manhattanville,8
127,Steinway,8
128,Allerton-Pelham Gardens,8
129,Grymes Hill-Clifton-Fox Hills,8
130,Sunset Park East,7
131,Forest Hills,7
132,Ozone Park,7
133,Upper East Side-Carnegie Hill,7
134,Greenpoint,7
135,College Point,7
136,Murray Hill-Kips Bay,6
137,Woodside,6
138,Georgetown-Marine Park-Bergen Beach-Mill Basin,6
139,Windsor Terrace,6
140,Maspeth,6
141,Ft. Totten-Bay Terrace-Clearview,6
142,East Elmhurst,6
143,Cambria Heights,5
144,Queensbridge-Ravenswood-Long Island City,5
145,East Williamsburg,5
146,Bellerose,5
147,Homecrest,5
148,Gravesend,5
149,Pomonok-Flushing Heights-Hillcrest,5
150,Gramercy,4
151,Fresh Meadows-Utopia,4
152,North Riverdale-Fieldston-Riverdale,4
153,Brighton Beach,4
154,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4
155,Auburndale,4
156,Bayside-Bayside Hills,4
157,Carroll Gardens-Columbia Street-Red Hook,3
158,Old Town-Dongan Hills-South Beach,3
159,New Dorp-Midland Beach,3
160,West Brighton,3
161,North Corona,3
162,Charleston-Richmond Valley-Tottenville,3
163,Douglas Manor-Douglaston-Little Neck,3
164,Oakwood-Oakwood Beach,3
165,Glendale,3
166,Glen Oaks-Floral Park-New Hyde Park,3
167,Grasmere-Arrochar-Ft. Wadsworth,2
168,Queensboro Hill,2
169,Prospect Heights,2
170,East Flushing,2
171,Port Richmond,2
172,Great Kills,2
173,Stuyvesant Town-Cooper Village,2
174,Brooklyn Heights-Cobble Hill,2
175,park-cemetery-etc-Bronx,2
176,Middle Village,2
177,Arden Heights,2
178,Westerleigh,2
179,New Brighton-Silver Lake,1
180,Starrett City,1
181,Oakland Gardens,1
182,Rossville-Woodrow,1
183,New Springville-Bloomfield-Travis,1
184,Williamsburg,1
185,park-cemetery-etc-Brooklyn,1
