,ntaname,Total
137,East Williamsburg,17
138,Morningside Heights,16
139,Laurelton,16
140,Old Astoria,16
141,Prospect Heights,15
142,Cambria Heights,15
143,Murray Hill,15
144,Lindenwood-Howard Beach,15
145,Madison,15
146,Fresh Meadows-Utopia,15
147,Jamaica Estates-Holliswood,14
148,Greenpoint,14
149,Port Richmond,14
150,Ozone Park,13
151,Pomonok-Flushing Heights-Hillcrest,13
152,Bellerose,13
153,Oakwood-Oakwood Beach,13
154,Dyker Heights,12
155,Middle Village,12
156,Bayside-Bayside Hills,11
157,East Elmhurst,11
158,Williamsburg,10
159,Ocean Parkway South,10
160,East Flushing,10
161,Stuyvesant Town-Cooper Village,10
162,Old Town-Dongan Hills-South Beach,9
163,Gramercy,9
164,Rego Park,9
165,Elmhurst-Maspeth,9
166,New Springville-Bloomfield-Travis,9
167,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,9
168,Park Slope-Gowanus,8
169,Whitestone,8
170,New Dorp-Midland Beach,8
171,New Brighton-Silver Lake,8
172,Auburndale,6
173,West Brighton,6
174,Great Kills,6
175,Douglas Manor-Douglaston-Little Neck,6
176,Oakland Gardens,6
177,Grasmere-Arrochar-Ft. Wadsworth,5
178,Glen Oaks-Floral Park-New Hyde Park,5
179,Annadale-Huguenot-Prince's Bay-Eltingville,5
180,park-cemetery-etc-Bronx,5
181,Ft. Totten-Bay Terrace-Clearview,5
182,Windsor Terrace,5
183,Queensboro Hill,4
184,Westerleigh,4
185,Charleston-Richmond Valley-Tottenville,4
186,Brooklyn Heights-Cobble Hill,3
187,Rossville-Woodrow,2
188,park-cemetery-etc-Brooklyn,2
189,Arden Heights,1
