,ntaname,Total
0,Williamsbridge-Olinville,223
1,East New York,217
2,Bedford Park-Fordham North,213
3,University Heights-Morris Heights,208
4,East Concourse-Concourse Village,206
5,Central Harlem North-Polo Grounds,205
6,Mount Hope,194
7,Crown Heights North,185
8,Morrisania-Melrose,151
9,Flatbush,146
10,Brownsville,143
11,East Tremont,141
12,Prospect Lefferts Gardens-Wingate,141
13,Rugby-Remsen Village,135
14,Van Cortlandt Village,119
15,West Concourse,119
16,Fordham South,119
17,Washington Heights South,118
18,Belmont,118
19,Stuyvesant Heights,117
20,Far Rockaway-Bayswater,110
21,Ocean Hill,110
22,East Flatbush-Farragut,109
23,Crotona Park East,107
24,Mott Haven-Port Morris,103
25,Norwood,102
26,Claremont-Bathgate,100
27,Highbridge,98
28,Kingsbridge Heights,98
29,East Harlem North,97
30,Melrose South-Mott Haven North,94
31,South Jamaica,93
32,Hammels-Arverne-Edgemere,93
33,West Farms-Bronx River,93
34,Longwood,92
35,Clinton,90
36,Hamilton Heights,89
37,Jamaica,88
38,Bedford,86
39,Marble Hill-Inwood,85
40,Woodlawn-Wakefield,84
41,Washington Heights North,84
42,Erasmus,83
43,Jackson Heights,79
44,Soundview-Bruckner,79
45,Central Harlem South,76
46,East Harlem South,76
47,Canarsie,76
48,East New York (Pennsylvania Ave),75
49,Bushwick South,74
50,Eastchester-Edenwald-Baychester,72
51,Bronxdale,71
52,Hunts Point,71
53,Hudson Yards-Chelsea-Flatiron-Union Square,68
54,St. Albans,66
55,Cypress Hills-City Line,63
56,Crown Heights South,63
57,Ridgewood,63
58,Corona,62
59,Flatlands,61
60,Parkchester,59
61,Upper West Side,58
62,Westchester-Unionport,58
63,Richmond Hill,57
64,Bay Ridge,56
65,South Ozone Park,55
66,Pelham Parkway,55
67,Soundview-Castle Hill-Clason Point-Harding Park,55
68,Queens Village,52
69,Van Nest-Morris Park-Westchester Square,52
70,Astoria,51
71,Midtown-Midtown South,51
72,Lower East Side,51
73,Lenox Hill-Roosevelt Island,51
74,Co-op City,51
75,Bushwick North,50
76,West New Brighton-New Brighton-St. George,47
77,Elmhurst,47
78,Hunters Point-Sunnyside-West Maspeth,46
79,Seagate-Coney Island,44
80,Yorkville,44
81,Forest Hills,43
82,Flushing,41
83,Baisley Park,38
84,Starrett City,37
85,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,37
86,Briarwood-Jamaica Hills,36
87,Hollis,36
88,Bensonhurst West,35
89,Woodhaven,35
90,Spuyten Duyvil-Kingsbridge,34
91,Stapleton-Rosebank,33
92,SoHo-TriBeCa-Civic Center-Little Italy,33
93,Fort Greene,31
94,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,31
95,Kew Gardens Hills,31
96,Sunset Park West,30
97,Midwood,30
98,North Side-South Side,29
99,Springfield Gardens North,29
100,North Corona,28
101,Chinatown,28
102,Glendale,28
103,Brighton Beach,27
104,Battery Park City-Lower Manhattan,27
105,Grymes Hill-Clifton-Fox Hills,27
106,Mariner's Harbor-Arlington-Port Ivory-Graniteville,27
107,Borough Park,26
108,Georgetown-Marine Park-Bergen Beach-Mill Basin,25
109,East Village,25
110,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,25
111,Kew Gardens,25
112,Schuylerville-Throgs Neck-Edgewater Park,25
113,Turtle Bay-East Midtown,24
114,College Point,24
115,Woodside,24
116,Murray Hill-Kips Bay,23
117,Sunset Park East,23
118,Springfield Gardens South-Brookville,23
119,Clinton Hill,23
120,North Riverdale-Fieldston-Riverdale,23
121,Homecrest,23
122,Pelham Bay-Country Club-City Island,23
123,Lincoln Square,23
124,Queensbridge-Ravenswood-Long Island City,22
125,West Village,22
126,Rosedale,21
127,Bensonhurst East,20
128,Bath Beach,20
129,Steinway,19
130,Kensington-Ocean Parkway,18
131,Allerton-Pelham Gardens,18
132,Manhattanville,18
133,Maspeth,18
134,Gravesend,18
135,Upper East Side-Carnegie Hill,18
136,Carroll Gardens-Columbia Street-Red Hook,17
